age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
33,admin.,married,tertiary,False,882,False,False,telephone,21,oct,39,1,151,3,failure,False
42,admin.,single,secondary,False,-247,True,True,telephone,21,oct,519,1,166,1,other,True
33,services,married,secondary,False,3444,True,False,telephone,21,oct,144,1,91,4,failure,True
36,management,married,tertiary,False,2415,True,False,telephone,22,oct,73,1,86,4,other,False
36,management,married,tertiary,False,0,True,False,telephone,23,oct,140,1,143,3,failure,True
56,technician,married,secondary,False,589,True,False,unknown,23,oct,518,1,147,2,success,True
44,blue-collar,married,secondary,False,1324,True,False,telephone,25,oct,119,1,89,2,other,False
26,technician,single,tertiary,False,172,False,True,telephone,4,nov,21,1,140,4,other,False
51,admin.,single,secondary,False,3132,False,False,telephone,5,nov,449,1,176,1,failure,False
33,unemployed,divorced,secondary,False,1005,True,False,telephone,10,nov,175,1,174,2,failure,False
34,admin.,married,tertiary,False,899,True,False,unknown,12,nov,114,1,170,3,failure,True
30,admin.,married,secondary,False,873,True,False,telephone,12,nov,119,1,167,3,success,False
30,management,single,tertiary,False,1243,True,False,telephone,13,nov,86,1,174,1,failure,False
44,entrepreneur,married,tertiary,False,1631,True,False,cellular,17,nov,81,1,195,2,failure,False
51,management,divorced,tertiary,False,119,False,False,cellular,17,nov,200,1,165,2,failure,False
51,technician,married,secondary,False,58,True,False,cellular,17,nov,79,1,129,2,failure,False
34,technician,single,secondary,False,105,True,False,cellular,17,nov,303,1,196,2,failure,False
49,management,married,tertiary,False,1533,False,False,cellular,17,nov,324,1,172,1,failure,False
47,housemaid,married,tertiary,False,228,True,False,cellular,17,nov,80,1,118,1,failure,False
40,management,single,secondary,False,1623,True,False,cellular,17,nov,161,1,167,2,failure,False
47,blue-collar,married,secondary,False,1484,False,False,cellular,17,nov,297,1,119,3,failure,False
38,management,married,tertiary,False,494,False,False,cellular,17,nov,146,1,104,2,other,False
54,technician,single,secondary,False,198,True,True,cellular,17,nov,120,1,171,2,failure,False
52,management,married,tertiary,False,1701,True,True,cellular,17,nov,381,1,117,2,other,False
48,admin.,divorced,secondary,False,295,True,False,cellular,17,nov,123,1,164,2,success,False
45,technician,married,secondary,False,1477,True,False,cellular,17,nov,75,1,132,1,failure,False
39,admin.,married,secondary,False,401,True,False,cellular,17,nov,396,1,129,2,failure,False
39,blue-collar,married,primary,False,3324,False,False,cellular,17,nov,96,1,131,1,failure,False
37,management,married,tertiary,True,0,False,False,cellular,17,nov,44,1,123,2,failure,False
49,management,married,tertiary,False,64,False,False,cellular,17,nov,208,1,159,1,success,False
58,admin.,married,unknown,False,0,True,False,cellular,17,nov,219,1,186,2,failure,False
43,technician,married,secondary,False,1865,True,False,cellular,17,nov,155,1,186,1,failure,False
50,management,married,secondary,False,633,False,True,telephone,17,nov,302,1,111,6,failure,False
42,technician,single,tertiary,False,35,True,True,cellular,17,nov,38,1,115,5,other,False
56,retired,married,secondary,False,2749,True,True,cellular,17,nov,38,1,172,2,failure,False
51,entrepreneur,married,tertiary,False,209,False,False,cellular,17,nov,130,1,111,2,failure,False
50,technician,single,secondary,False,246,True,False,cellular,17,nov,270,1,123,2,failure,False
45,technician,married,secondary,False,1415,True,False,cellular,17,nov,483,1,116,1,failure,False
30,management,married,tertiary,False,101,True,False,cellular,17,nov,348,1,123,1,failure,False
39,management,married,tertiary,False,500,True,False,cellular,17,nov,257,1,178,2,other,False
34,housemaid,married,tertiary,False,1265,True,False,cellular,17,nov,118,1,164,3,failure,False
59,management,married,tertiary,False,0,False,False,cellular,17,nov,90,2,110,2,failure,False
53,services,married,secondary,False,1364,False,False,cellular,17,nov,508,1,115,1,failure,False
46,management,single,tertiary,False,46,False,True,cellular,17,nov,80,1,152,1,failure,False
56,technician,divorced,secondary,False,689,True,False,cellular,17,nov,110,1,103,4,failure,False
49,management,divorced,tertiary,False,2370,True,True,unknown,17,nov,56,1,103,2,other,False
34,admin.,single,secondary,False,0,True,False,cellular,17,nov,214,1,174,2,failure,False
54,technician,married,secondary,False,472,True,True,unknown,17,nov,229,2,150,1,failure,False
59,retired,divorced,secondary,False,514,True,False,cellular,17,nov,573,1,188,1,other,False
59,management,married,primary,False,252,True,True,cellular,17,nov,138,1,175,2,failure,False
40,technician,married,secondary,False,0,True,False,cellular,17,nov,74,2,196,1,failure,False
43,technician,divorced,secondary,False,-36,True,False,cellular,17,nov,190,1,104,1,failure,False
43,technician,married,secondary,False,0,False,True,cellular,17,nov,103,2,193,3,failure,False
55,entrepreneur,divorced,tertiary,False,1730,False,False,cellular,17,nov,89,2,118,3,failure,False
49,entrepreneur,married,tertiary,False,313,True,False,cellular,17,nov,42,2,188,2,failure,False
39,blue-collar,single,primary,False,419,True,False,cellular,17,nov,186,1,181,1,failure,False
56,admin.,married,secondary,False,1270,True,False,cellular,17,nov,80,2,165,2,other,False
42,services,married,secondary,False,1048,True,False,cellular,17,nov,71,1,186,1,failure,False
51,technician,married,secondary,False,563,True,False,cellular,17,nov,504,1,123,3,failure,False
36,blue-collar,married,secondary,False,1797,True,True,cellular,17,nov,166,1,181,2,failure,False
52,technician,married,tertiary,False,3440,True,False,cellular,17,nov,124,1,131,1,failure,False
42,entrepreneur,married,tertiary,False,373,False,False,cellular,17,nov,174,1,154,3,failure,False
45,technician,married,secondary,False,2020,True,False,cellular,17,nov,62,1,131,1,failure,False
35,entrepreneur,married,secondary,False,24,True,False,cellular,17,nov,128,1,181,1,failure,False
38,management,married,tertiary,False,425,True,False,cellular,17,nov,240,1,181,1,failure,False
47,technician,married,secondary,False,80,False,True,cellular,17,nov,74,1,145,1,failure,False
43,self-employed,married,secondary,False,634,True,False,cellular,17,nov,65,1,131,1,failure,False
40,blue-collar,single,secondary,False,677,True,False,cellular,17,nov,619,1,171,5,other,False
54,technician,married,secondary,False,899,False,True,cellular,17,nov,61,1,145,1,other,False
50,management,married,tertiary,False,830,False,False,cellular,17,nov,71,1,138,2,failure,False
54,services,married,secondary,False,2719,True,False,cellular,17,nov,166,2,171,2,failure,False
44,unemployed,married,secondary,False,0,True,False,cellular,17,nov,58,1,195,2,failure,False
51,management,married,tertiary,False,248,True,True,cellular,17,nov,139,2,126,3,failure,False
42,technician,single,secondary,False,-15,False,False,cellular,17,nov,89,1,145,1,failure,False
46,services,divorced,secondary,False,0,False,False,cellular,17,nov,407,1,150,3,success,False
50,management,married,tertiary,False,4,False,False,cellular,17,nov,223,1,96,2,failure,False
58,unknown,divorced,secondary,False,3111,True,False,cellular,17,nov,111,1,188,2,failure,False
41,unemployed,married,primary,False,557,True,False,cellular,17,nov,158,1,173,1,failure,False
37,management,single,tertiary,False,600,True,False,cellular,17,nov,116,2,196,1,failure,False
53,admin.,married,secondary,False,350,False,True,cellular,17,nov,113,3,132,2,failure,False
53,self-employed,married,secondary,False,248,False,True,cellular,17,nov,99,1,126,3,failure,False
52,technician,married,secondary,False,1818,False,True,cellular,17,nov,189,2,111,4,failure,False
36,management,divorced,tertiary,False,3837,True,False,cellular,17,nov,184,1,193,1,success,False
37,admin.,married,tertiary,False,0,True,False,cellular,17,nov,65,2,119,1,failure,False
44,management,married,tertiary,False,58,True,False,cellular,17,nov,48,1,126,3,failure,False
32,admin.,married,secondary,False,0,True,True,cellular,17,nov,159,2,195,2,failure,False
41,management,married,tertiary,False,20,True,False,cellular,17,nov,99,1,151,2,failure,False
37,services,married,secondary,True,-954,True,False,cellular,17,nov,69,1,180,3,failure,False
51,blue-collar,married,primary,False,230,True,False,cellular,17,nov,174,1,195,1,failure,False
56,management,married,tertiary,False,505,True,True,cellular,17,nov,171,1,172,2,failure,False
44,services,married,secondary,False,3843,True,False,cellular,17,nov,70,1,150,2,other,False
39,self-employed,married,tertiary,False,5,True,False,cellular,17,nov,118,2,131,1,other,False
38,technician,married,secondary,False,821,True,True,cellular,17,nov,224,2,180,1,failure,False
34,management,single,tertiary,False,1049,True,False,cellular,17,nov,101,2,129,1,failure,False
51,blue-collar,married,secondary,False,1414,True,False,unknown,17,nov,422,3,186,2,failure,False
38,blue-collar,married,primary,False,0,True,False,cellular,17,nov,78,2,193,2,failure,False
41,blue-collar,married,secondary,False,271,True,False,cellular,17,nov,148,2,172,2,failure,False
54,management,married,tertiary,False,3795,True,True,cellular,17,nov,227,2,119,1,failure,False
55,entrepreneur,married,secondary,False,653,True,False,cellular,17,nov,193,2,186,1,failure,False
38,technician,single,secondary,False,1255,True,False,cellular,17,nov,151,2,171,2,failure,False
50,technician,divorced,secondary,False,-403,False,True,cellular,17,nov,130,2,119,2,failure,False
42,unemployed,married,primary,False,2636,False,False,cellular,17,nov,178,2,151,1,failure,False
40,housemaid,married,secondary,False,1029,True,True,cellular,17,nov,117,2,117,3,failure,False
38,admin.,married,secondary,False,0,False,False,telephone,17,nov,599,2,158,8,other,False
56,management,single,secondary,False,237,True,False,telephone,17,nov,117,3,131,4,failure,False
39,technician,married,secondary,False,8,False,True,cellular,17,nov,333,2,96,2,failure,False
42,services,married,secondary,False,1027,True,False,telephone,17,nov,188,2,168,2,failure,False
44,management,married,tertiary,False,724,True,False,cellular,17,nov,157,2,172,1,failure,False
36,blue-collar,married,secondary,False,0,True,False,cellular,17,nov,273,2,131,1,failure,False
40,unemployed,married,secondary,False,219,True,False,cellular,17,nov,204,2,196,1,failure,False
48,technician,married,unknown,False,2106,True,False,cellular,17,nov,499,2,195,1,failure,False
43,management,married,tertiary,False,2767,True,False,cellular,17,nov,374,1,186,7,failure,False
40,technician,married,secondary,False,1269,True,False,cellular,17,nov,353,1,172,1,failure,False
56,services,married,secondary,False,1150,False,True,cellular,17,nov,107,1,117,3,failure,False
56,management,single,tertiary,False,1092,True,True,cellular,17,nov,176,3,186,4,failure,False
37,management,married,secondary,False,121,False,True,cellular,17,nov,211,2,151,2,failure,False
44,technician,divorced,secondary,False,106,True,False,unknown,17,nov,17,1,175,1,failure,False
40,blue-collar,married,secondary,False,755,False,False,cellular,17,nov,408,1,117,1,failure,False
43,technician,married,tertiary,False,1201,True,True,cellular,18,nov,82,1,97,3,failure,False
40,self-employed,married,tertiary,False,3059,True,True,cellular,18,nov,41,1,182,1,failure,False
44,management,married,tertiary,False,756,True,False,cellular,18,nov,65,1,130,2,failure,False
37,blue-collar,married,secondary,False,723,True,False,cellular,18,nov,119,1,110,2,failure,False
37,technician,married,secondary,False,195,True,False,cellular,18,nov,68,1,194,2,failure,False
41,technician,married,secondary,False,3275,True,False,cellular,18,nov,121,1,168,1,other,False
42,entrepreneur,married,tertiary,False,2249,True,False,telephone,18,nov,228,1,125,5,failure,False
53,technician,married,secondary,False,137,False,True,cellular,18,nov,52,1,176,1,failure,False
41,blue-collar,married,primary,False,1461,True,False,cellular,18,nov,290,1,165,2,success,False
56,technician,married,secondary,False,589,True,False,cellular,18,nov,208,1,26,3,success,False
34,blue-collar,married,secondary,False,559,True,False,telephone,18,nov,47,1,193,1,other,False
39,admin.,single,tertiary,False,283,True,False,cellular,18,nov,346,1,179,3,other,False
36,technician,married,secondary,False,154,True,False,cellular,18,nov,231,1,96,2,other,False
47,management,divorced,tertiary,False,428,True,False,cellular,18,nov,116,1,167,1,other,False
36,blue-collar,married,unknown,False,722,True,False,cellular,18,nov,242,1,182,2,failure,False
42,admin.,single,secondary,False,-247,True,True,cellular,18,nov,104,2,28,2,success,False
37,technician,married,secondary,False,0,True,False,cellular,18,nov,173,1,179,6,failure,False
33,technician,single,secondary,False,1769,True,False,cellular,18,nov,273,1,182,1,failure,False
46,technician,married,secondary,False,68,True,True,cellular,18,nov,111,2,155,3,failure,False
36,admin.,divorced,secondary,False,454,True,False,cellular,18,nov,165,1,131,1,failure,False
32,blue-collar,single,secondary,False,53,True,False,cellular,18,nov,276,1,195,1,failure,False
38,management,single,tertiary,False,1515,True,False,cellular,18,nov,134,1,110,5,failure,False
37,housemaid,single,tertiary,False,561,False,False,cellular,18,nov,188,1,165,2,failure,False
59,entrepreneur,married,secondary,False,2429,False,True,cellular,18,nov,79,2,182,7,failure,False
40,services,divorced,secondary,False,1155,False,True,cellular,18,nov,175,1,138,1,failure,False
59,blue-collar,married,primary,False,14,True,True,cellular,18,nov,319,2,182,1,failure,False
36,management,single,tertiary,False,0,False,True,cellular,18,nov,300,1,96,4,failure,False
45,blue-collar,single,secondary,False,91,False,True,cellular,18,nov,149,1,127,2,failure,False
38,management,single,tertiary,False,427,True,False,cellular,18,nov,253,1,182,1,failure,False
42,blue-collar,married,secondary,False,1958,True,False,cellular,18,nov,129,1,172,3,failure,False
30,technician,single,tertiary,False,3,True,False,cellular,18,nov,54,1,195,1,failure,False
51,self-employed,married,tertiary,False,146,False,False,cellular,18,nov,150,2,126,3,failure,False
37,management,married,tertiary,False,3770,True,False,cellular,18,nov,106,1,110,4,failure,False
41,services,married,secondary,False,446,True,False,cellular,18,nov,296,1,186,1,success,False
33,admin.,divorced,secondary,False,661,True,False,cellular,18,nov,411,1,173,2,other,False
36,technician,married,secondary,False,1345,True,False,cellular,18,nov,82,1,172,3,failure,False
58,management,married,tertiary,False,0,True,False,cellular,18,nov,265,1,188,1,failure,False
42,blue-collar,married,primary,False,2273,True,False,cellular,18,nov,253,1,112,2,failure,False
41,blue-collar,married,secondary,False,1100,True,False,cellular,18,nov,397,1,173,2,failure,False
34,management,single,tertiary,False,1494,True,False,cellular,18,nov,596,1,182,1,other,True
48,services,married,secondary,False,2877,True,False,cellular,18,nov,77,1,168,1,failure,False
30,technician,single,secondary,True,-305,False,True,cellular,18,nov,37,1,96,6,failure,False
31,technician,married,tertiary,False,26,False,True,cellular,18,nov,419,1,127,6,other,True
43,technician,single,secondary,True,685,True,False,cellular,18,nov,78,1,110,2,failure,False
34,admin.,single,secondary,False,10,False,True,cellular,18,nov,162,1,173,3,failure,False
35,management,married,tertiary,False,1041,False,False,cellular,18,nov,586,1,120,3,other,False
36,admin.,single,secondary,False,1927,True,False,cellular,18,nov,288,1,137,1,other,False
44,management,married,primary,False,1880,True,False,cellular,18,nov,34,1,124,6,failure,False
36,management,married,tertiary,False,0,True,False,cellular,18,nov,103,1,175,2,failure,False
33,blue-collar,married,secondary,False,596,True,False,cellular,18,nov,77,1,127,3,failure,False
47,admin.,married,secondary,False,829,True,True,cellular,18,nov,48,1,188,1,failure,False
47,blue-collar,married,secondary,False,3237,True,False,cellular,18,nov,38,1,187,3,failure,False
35,technician,married,secondary,False,222,True,False,cellular,18,nov,233,1,190,6,failure,False
39,admin.,married,secondary,False,3732,True,False,cellular,18,nov,515,1,181,2,failure,False
39,self-employed,married,tertiary,False,585,True,False,cellular,18,nov,48,1,181,3,failure,False
31,services,single,secondary,False,2038,True,False,cellular,18,nov,239,1,182,1,failure,False
37,unemployed,single,tertiary,False,1316,True,False,cellular,18,nov,389,1,172,2,failure,False
50,technician,married,secondary,False,-353,True,True,cellular,18,nov,162,1,175,2,failure,False
56,admin.,divorced,secondary,False,0,False,False,cellular,18,nov,100,1,154,2,failure,False
30,admin.,divorced,secondary,False,83,True,True,cellular,18,nov,118,2,196,1,failure,False
45,blue-collar,married,primary,False,147,True,False,cellular,18,nov,226,1,168,2,failure,False
33,blue-collar,married,secondary,False,157,True,False,cellular,18,nov,110,1,182,1,failure,False
45,technician,married,secondary,False,3395,True,False,cellular,18,nov,92,1,188,1,failure,False
39,housemaid,married,primary,False,694,True,True,cellular,18,nov,91,1,168,2,other,False
37,blue-collar,single,secondary,False,690,True,False,cellular,18,nov,105,1,179,2,failure,False
37,services,single,secondary,False,54,True,False,cellular,18,nov,328,2,131,1,failure,False
33,technician,single,tertiary,False,179,True,False,cellular,18,nov,432,2,181,4,other,False
40,services,single,secondary,False,326,True,False,cellular,18,nov,124,1,175,1,failure,False
45,technician,married,secondary,False,1441,True,False,cellular,18,nov,93,1,113,2,other,False
39,technician,married,secondary,False,484,False,True,cellular,18,nov,61,1,113,3,other,False
38,blue-collar,married,secondary,False,-288,True,True,cellular,18,nov,68,1,165,2,failure,False
41,technician,married,secondary,False,2123,False,False,cellular,18,nov,232,1,102,2,failure,False
44,technician,married,secondary,False,1901,False,False,cellular,18,nov,143,3,104,2,failure,False
41,blue-collar,married,secondary,False,1954,False,False,cellular,18,nov,65,1,110,2,success,False
45,management,single,tertiary,False,16,False,False,cellular,18,nov,100,1,110,2,failure,False
45,blue-collar,married,secondary,False,1678,True,False,unknown,18,nov,187,1,154,1,failure,False
52,admin.,divorced,secondary,False,2717,False,False,telephone,18,nov,114,1,162,2,failure,False
43,entrepreneur,single,primary,False,103,True,False,cellular,18,nov,53,1,183,5,failure,False
37,management,single,tertiary,False,1743,True,False,cellular,18,nov,192,1,113,2,failure,False
48,blue-collar,married,primary,False,1092,False,True,cellular,18,nov,79,1,172,8,failure,False
42,management,married,tertiary,False,2110,False,True,cellular,18,nov,67,1,110,2,failure,False
34,management,married,tertiary,False,63,False,False,cellular,18,nov,83,1,102,2,failure,False
32,blue-collar,single,secondary,False,118,True,False,cellular,18,nov,216,1,124,1,success,False
50,self-employed,single,tertiary,False,21,True,False,cellular,18,nov,157,1,188,1,failure,False
30,management,married,tertiary,False,900,False,False,cellular,18,nov,123,1,124,2,failure,False
32,admin.,married,secondary,False,1785,True,False,cellular,18,nov,51,2,154,6,other,False
55,services,married,secondary,False,3546,True,True,cellular,18,nov,588,1,110,2,failure,False
32,management,married,tertiary,False,1667,True,False,cellular,18,nov,164,2,179,3,failure,False
32,services,single,secondary,False,2251,True,True,cellular,18,nov,131,1,124,1,failure,False
31,admin.,single,secondary,False,2076,False,True,cellular,18,nov,178,1,127,7,other,False
46,blue-collar,single,primary,False,3046,True,True,cellular,18,nov,84,1,183,1,other,False
44,technician,married,secondary,False,533,True,False,cellular,18,nov,127,1,110,2,failure,False
36,blue-collar,married,secondary,False,2894,True,False,cellular,18,nov,91,1,124,1,failure,False
34,management,married,tertiary,False,11,True,False,cellular,18,nov,123,1,124,1,failure,False
32,management,married,tertiary,False,3107,True,True,cellular,18,nov,165,2,116,1,failure,False
48,blue-collar,married,secondary,False,3008,True,True,cellular,18,nov,163,1,187,3,failure,False
48,management,single,tertiary,False,648,True,False,cellular,18,nov,290,1,110,2,failure,False
39,services,married,secondary,False,173,True,False,cellular,18,nov,96,2,182,2,failure,False
47,admin.,single,secondary,False,19,True,True,cellular,18,nov,90,2,123,1,failure,False
52,blue-collar,married,tertiary,False,297,True,False,cellular,18,nov,62,2,195,1,failure,False
59,technician,divorced,secondary,False,797,True,False,cellular,18,nov,319,2,165,2,failure,False
36,services,single,secondary,False,1482,True,False,cellular,18,nov,177,2,174,1,other,False
